National Database Number,Field Number,Common Name,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Fishery Type,Other Human Interaction,Other Human Int Description,Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Gear Collection,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,Other Findings Type,Other Findings - Descibe,Observation Date,How Observed,Observation Status,Not Able to Examine,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transferred to Rehabilitation,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD ,Condition Other,Condition Other Description,Entangled,Condition Comments,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Necropsied,Necropsy Limited,Date of Necropsy,Additional Remarks,
NW-1981-1154010,MMP-041,"Whale, minke",OR,Lane,Florence,Unknown,43.966742,decimal degrees,-124.110914,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,3/12/81,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,3/12/81,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,820,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1981-1154013,19810505-Er,"Whale, gray",OR,Lincoln,Newport,Unknown,44.634105,decimal degrees,-124.064629,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/5/81,,Alive,Y,,Alive,Y,Y,,,,,,5/5/81,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,900,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1982-1153913,OIMB-C-031,"Whale, gray",OR,Douglas,Winchester Bay,Umpqua River,43.672331,decimal degrees,-124.192283,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,7/28/82,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,7/28/82,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,1330,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1983-1154045,19830426-Er,"Whale, gray",OR,Tillamook,Netarts,Unknown,45.43042,decimal degrees,-123.945664,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/26/83,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/26/83,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,880,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1983-1154096,19830510-Er,"Whale, gray",OR,Tillamook,Cape Meares,Unknown,45.495163,decimal degrees,-123.962696,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/10/83,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,5/10/83,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,710,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1983-1154112,19831214-Er,"Whale, gray",OR,Lincoln,Lincoln City,Unknown,44.963436,decimal degrees,-124.019911,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,12/14/83,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,12/14/83,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,1240,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1984-1153881,19840119-Er,"Whale, gray",OR,Curry,Port Orford,Unknown,42.740019,decimal degrees,-124.501016,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,1/19/84,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,1/19/84,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,1100,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1984-1153937,19840405-Er,"Whale, gray",OR,Tillamook,Neskowin,Cascade Head,45.106295,decimal degrees,-123.985552,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/5/84,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/5/84,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,0,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1984-1154126,584-200,"Whale, gray",OR,Lincoln,Cape Foulweather,Unknown,44.772347,decimal degrees,-124.075633,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/3/84,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,5/3/84,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,830,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1984-1153939,584-212,"Whale, gray",OR,Lincoln,Lincoln City,Siletz Bay,44.913905,decimal degrees,-124.017592,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/8/84,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,5/8/84,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,800,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1984-1153958,OIMB-C-040,"Whale, gray",OR,Curry,Port Orford,Unknown,42.741595,decimal degrees,-124.495866,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,11/8/84,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,11/8/84,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,1250,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1985-1153851,19850513-Er,"Whale, gray",OR,Lincoln,Newport,Yaquina Head,44.6751154,decimal degrees,-124.0852611,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,5/13/85,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,5/13/85,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,900,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1985-1153861,1185-712,"Whale, sperm",OR,Lincoln,Yachats,Unknown,44.310002,decimal degrees,-124.10713,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,11/8/85,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,11/8/85,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,1350,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1986-1154214,MMP-044,"Whale, minke",OR,Tillamook,Nehalem,Unknown,45.676883,decimal degrees,-123.938489,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,9/2/86,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,9/2/86,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,778,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1987-1154216,PSU-8702,"Whale, gray",OR,Clatsop,Cannon Beach,Unknown,45.884898,decimal degrees,-123.964339,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,1/14/87,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,1/14/87,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,381,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1987-1153970,OIMB-C-048,"Whale, gray",OR,Coos,Coos Bay,Unknown,43.307996,decimal degrees,-124.400796,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,2/6/87,,Alive,Y,,Alive,Y,,,,,Y,,2/6/87,,,,,,,,,,,,,,,Y,,,,UNKNOWN,UNKNOWN,400,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1987-1154217,PSU-8704,"Whale, killer",OR,Clatsop,Fort Stevens,Unknown,46.203586,decimal degrees,-123.99584,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,3/7/87,,Alive,Y,,Alive,Y,,,,,Y,,3/7/87,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,249,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1987-1153980,OIMB-C-049,"Whale, gray",OR,Coos,North Bend,Unknown,43.420496,decimal degrees,-124.218377,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,4/9/87,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,4/9/87,,,,,,,,,,,,,,,Y,,,,FEMALE,UNKNOWN,860,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1987-1153897,19870927-Er,"Whale, gray",OR,Curry,Gold Beach,Unknown,42.40505,decimal degrees,-124.42464,decimal degrees,CBD,N,,,,,,,,,,,,,,,,,,,,,9/27/87,,Condition Unknown,Y,,Condition Unknown,Y,,,,,,,9/27/87,,,,,,,,,,,,,,,Y,,,,MALE,UNKNOWN,853,cm,,,,,,,,,,,,,,,,,,,,,,,,
NW-1989-1026565,0189-1140,"Whale, gray",OR,Lincoln,South Beach,South Beach SP,44.6029,decimal degrees,-124.066171,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,1/9/89,,Fresh Dead,N,1/10/89,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,350,cm,estimate,,kg,actual,N,N,N,N,N,,,N,,,N,,N,,,Y,,,,
NW-1989-1026746,0789-1285,"Whale, gray",OR,Clatsop,Cape Disappointment,mouth of Columbia R.,46.274645,decimal degrees,-124.0281,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,7/13/89,,Fresh Dead,N,7/13/89,Fresh Dead,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,300,cm,estimate,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1990-1026166,0490-1318,"Whale, gray",OR,Clatsop,Ft. Stevens SP,,46.17723,decimal degrees,-123.980391,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,4/8/90,,Fresh Dead,N,4/8/90,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,,cm,actual,,kg,actual,N,N,Y,N,N,,,N,,,N,,N,,,Y,,,,
NW-1990-1026167,0490-1319,"Whale, minke",OR,Lincoln,Fogarty Creek SP,,44.839751,decimal degrees,-124.053016,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,4/9/90,,Fresh Dead,N,4/9/90,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,318,cm,actual,,in,actual,Y,N,N,N,N,,,N,,,N,,N,,,Y,,,,
NW-1990-1026240,OIMB-C-057,"Whale, sperm",OR,Coos,Coos Bay,Whiskey Run Beach,43.216753,decimal degrees,-124.395851,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,5/16/90,,Alive,N,5/16/90,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,499,cm,actual,,kg,actual,N,N,N,N,N,,,N,,,N,,N,,,Y,,,,
NW-1990-1026312,0690-1382,"Whale, gray",OR,Curry,Port Orford,Humbug Mountain State Park,42.687552,decimal degrees,-124.447757,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,6/18/90,,Fresh Dead,N,6/18/90,Fresh Dead,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,,cm,actual,,kg,actual,N,N,Y,N,N,,,N,,,N,,N,,,N,,,,
NW-1991-1025871,NW-3477,"Whale, gray",OR,Coos,Cape Blanco,at mouth of Elk River,42 48,,124 31,,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,3/20/91,,Fresh Dead,N,3/20/91,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,,cm,actual,,kg,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1991-1025906,0591-1596,"Whale, gray",OR,Tillamook,Bay Ocean Spit,,45.522811,decimal degrees,-123.948963,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,5/3/91,,Fresh Dead,N,5/3/91,Advanced Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,504,cm,actual,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1991-1025936,0591-1518,"Whale, humpback",OR,Douglas,Reedsport,North Umpqua Spit,43.09022,decimal degrees,-124.104515,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,5/28/91,,Fresh Dead,N,5/28/91,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,720,cm,estimate,,in,actual,N,N,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1991-1025979,0791-1541,"Whale, gray",OR,Tillamook,Tillamook,Cape Mears Beach,45.485198,decimal degrees,-123.975941,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,7/8/91,,Fresh Dead,N,7/9/91,Advanced Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,,cm,actual,,kg,actual,N,N,Y,N,N,,,N,,,N,,N,,,Y,,,,
NW-1991-1026060,1191-1590,"Whale, gray",OR,Curry,Ophir,1 mile N of town,42.585161,decimal degrees,-124.394927,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,11/3/91,,Fresh Dead,N,11/3/91,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,,cm,actual,,kg,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1992-1025403,0392-1623,"Whale, gray",OR,Curry,Brookings,,42.046366,decimal degrees,-124.285858,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,3/3/92,,Fresh Dead,N,3/3/92,Fresh Dead,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,,cm,actual,,kg,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1993-1024002,NW-1773,"Whale, killer",OR,Newport,Seal Rock,,44.496239,decimal degrees,-124.08497,decimal degrees,N,N,N,N,,N,,,N,N,,,,N,N,N,N,,N,,,,7/24/93,,Fresh Dead,N,7/24/93,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,235,cm,actual,,kg,actual,Y,N,N,N,N,,,N,,,N,N,N,N,,N,,,,
NW-1994-1024515,NW-2239,"Whale, humpback",OR,Coos,New River,,43.000412,decimal degrees,-124.457502,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,5/2/94,,Fresh Dead,N,5/2/94,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,192,cm,estimate,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1994-1024588,NW-2304,"Whale, minke",OR,Coos,Horsfall Beach,~2 miles N of north jetty of Coos Bay,43.386291,decimal degrees,-124.315513,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,6/1/94,,Fresh Dead,N,6/1/94,Moderate Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,384,cm,actual,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1995-1024207,OIMB-C-060,"Whale, gray",OR,Douglas,Gardiner,N. Spit of Unipqua River; Three Mile Beach; ~1.5 miles S. of Sparrow Park Rd. entrance,43.705925,decimal degrees,-124.193632,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,1/25/95,,Alive,N,1/25/95,Alive,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,newborn; weak at stranding; euthanized by USFS agent by shooting,FEMALE,,630,cm,actual,,kg,actual,N,N,N,N,N,,,N,,,N,,N,,,N,,,"2/3/95 - reported again (w/out head); spoke w/ Jan Hodder who informed me that she had removed head and left carcass on beach, so it's probably the same whale!",
NW-1995-1024237,Oo95-18,"Whale, killer",OR,Lincoln,Newport,beach behind Shilo Inn,44.632552,decimal degrees,-124.064831,decimal degrees,N,N,N,N,,N,,,N,N,,,,N,N,N,N,,N,,,,5/13/95,,Fresh Dead,N,5/13/95,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,78,cm,estimate,250,kg,estimate,Y,N,N,N,N,,,N,,,N,N,N,N,,N,,,,
NW-1995-1023326,NW-1156,"Whale, gray",OR,Coos,Bullard's Beach SP,,43.15417,decimal degrees,-124.42471,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,9/5/95,,Fresh Dead,N,9/5/95,Fresh Dead,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,180,cm,actual,,in,actual,N,N,Y,N,N,,,N,,,N,,N,,,N,,,,
NW-1995-1024143,NW-1900,"Whale, gray",OR,Lane,Florence,3 miles N of Takenitch Creek,43.880206,decimal degrees,-124.153868,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,11/7/95,,Fresh Dead,N,11/7/95,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,330,cm,actual,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,Oregon Dunes wildlife biologist Carrie Palermo identified animal as a gray whale,
NW-1995-1024358,NW-2098,"Whale, humpback",OR,Curry,Gold Beach,,42.404591,decimal degrees,-124.42464,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,12/6/95,,Fresh Dead,N,12/9/95,Advanced Decomposition,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,,,cm,actual,,kg,actual,N,N,N,N,N,,,N,,,N,,N,,,N,,,,
NW-1995-1024149,NW-1906,"Whale, gray",OR,Curry,Brookings,Harris Beach Park; .5 mile N of Winchuck River,42.067705,decimal degrees,-124.31539,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,12/19/95,,Fresh Dead,N,1/11/96,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,,304,cm,actual,,kg,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,left message for B. Lagerquist,
NW-1996-1024019,NW-1789,"Whale, gray",OR,Lincoln,Gleneden,Gleneden Beach behind Cavalier Condos,44.86323,decimal degrees,-124.043141,decimal degrees,N,N,N,N,,N,,,N,N,,,,,N,,,,,,,,3/29/96,,Fresh Dead,N,3/29/96,Fresh Dead,N,N,N,N,N,N,N,,,N,,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,,370,cm,actual,,in,actual,N,Y,N,N,N,,,N,,,N,,N,,,N,,,,
