Regional ID,Field ID,Common Name,Date of Occurance,Date of Examination,State,County,City,Location Details,Latitude,Longitude,Type of Occurance,Initial Condition,Examiner,Initial Disposition,Sex,Age,Length,Length Units,Weight,Weight Units,Stranding Remarks,Material Disposition,Final Disposition Remarks,,
8304088,LACMNH-JEH-312,MINKE WHALE,4/20/83,,CA,ORANGE,NEWPORT BEACH,BALBOA PENINSULA,333700,1175400,UNKNOWN,FRESH DEAD,"JOHN HEYNING, LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY, LOS ANGELES",SPECIMEN TO SCIENTIFIC COLLECTION,M,PUP,308,CM,,,,"EYE & ELECTROPHERETIC TISSUES TO D DUFFIELD, PORTLAND STATE UNIVERSITY; SKULL & OTHER TISSUE SAMPLES TO LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY",LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY,,
8305259,,GRAY WHALE,5/19/83,,CA,SANTA CRUZ,CAPITOLA,NEW BRIGHTON STATE BEACH,365840,1215600,PREDATION-RELATED,MODERATE DECOMPOSITION,"THOMAS DOHL, LONG MARINE LABORATORY, UC SANTA CRUZ",SPECIMEN TO SCIENTIFIC COLLECTION,M,CALF,301,IN,,,LOWER JAW & TONGUE TORN AWAY BY POSSIBLY AN ORCA; MULTIPLE SMALL SHARK BITES; 3-5 INCHES IN DIAMETER,PHOTOS TAKEN; SKULL; BALEEN; EPIDERMIS; MUSCLE; BLUBBER & LEFT MANDIBLE CONDYLE TO UCSC,"LONG MARINE LABORATORY, UC SANTA CRUZ",,
8305269,HSU-VM-635,GRAY WHALE,5/23/83,,CA,DEL NORTE,CRESCENT CITY,PEBBLE BEACH; OPPOSITE CASTLE ROCK,414600,1241200,UNKNOWN,MODERATE DECOMPOSITION,"DOUGLAS KAIN, HUMBOLDT STATE UNIVERSITY VERTEBRATE MUSEUM, ARCATA",SPECIMEN TO SCIENTIFIC COLLECTION,M,UNKNOWN,590,CM,,,,SKULL & BALEEN TO HSU VERTEBRATE MUSEUM; 17 BALEEN PLATES TRANSFERRED TO NIKKI ROWE HIGH SCHOOL IN TEXAS 9/98; BALEEN PIECE TRANSFERRED TO MARIN HUMANE SOCIETY 2/95; 10 BALEEN PLATES TRANSFERRED TO MARY VEGAS IN TX 10/98 (DOC-4663-F/SWR),HUMBOLDT STATE UNIVERSITY VERTEBRATE MUSEUM,,
8305014,LACMNH-DRM-1095,SPERM WHALE,5/24/83,5/24/83,CA,ORANGE,DANA POINT,NIGUEL SHORES BEACH; 200 YARDS NORTH OF RAMP,332830,1174310,PREDATION-RELATED,FRESH DEAD,"DIANA MCINTYRE, LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY, LOS ANGELES",SPECIMEN TO SCIENTIFIC COLLECTION,M,CALF,404,CM,,,TOOTH SCRAPES; NOT SHARK OR ORCA; SHARK BITES ON TAIL & FLIPPER,PHOTOS TAKEN; SKULL & TISSUE SAMPLES TO LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY,LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY,,
8307001,CAS-22600,SPERM WHALE,7/4/83,7/5/83,CA,SAN MATEO,,PESCADERO STATE BEACH,371700,1222500,UNKNOWN,FRESH DEAD,"LAURIE GAGE, CALIFORNIA MARINE MAMMAL CENTER, SAUSALITO",SPECIMEN TO SCIENTIFIC COLLECTION,F,CALF,400,CM,800,LB,NEWBORN,PHOTOS TAKEN; LOWER JAW & EYES TO CALIFORNIA ACADEMY OF SCIENCES,CALIFORNIA ACADEMY OF SCIENCES,,
8308019,NMFS/SWFC-MSL-295,FIN WHALE,8/17/83,8/17/83,CA,SAN DIEGO,IMPERIAL BEACH,ABOUT 1 MILE NORTH OF YMCA SURF CAMP,323548,1170759,UNKNOWN,MODERATE DECOMPOSITION,"JEANNE WIXLER, NMFS/SWFC, LA JOLLA",SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,1900,CM,,,TEETH RAKE MARKS; POSSIBLE COOKIE CUTTER SHARK MARKS NEAR FLUKE,PHOTOS TAKEN; BALEEN; BLUBBER SAMPLES; PARASITES & DORSAL FIN TO NMFS/SWFC,NMFS/SWFC,,
8311002,CAS-JAS-3588,HUMPBACK WHALE,11/8/83,11/8/83,CA,MARIN,,"TENNESSEE POINT, MARIN HEADLANDS, GOLDEN GATE NATIONAL RECREATION AREA",374800,1223200,UNKNOWN,ADVANCED DECOMPOSITION,"PEIGIN BARRETT & JAN LORETTO, CALIFORNIA MARINE MAMMAL CENTER, SAUSALITO",SPECIMEN TO SCIENTIFIC COLLECTION,U,UNKNOWN,1200,CM,,,,1 VERTEBRA; 1 HYOID; 1 RAMUS OF LOWER JAW & 2 RIBS TO CALIFORNIA ACADEMY OF SCIENCES,CALIFORNIA ACADEMY OF SCIENCES,,
8312021,LACMNH-DRM-1099,GRAY WHALE,12/9/83,12/9/83,CA,LOS ANGELES,RANCHO PALOS VERDES,"PORTUGUESE BEND CLUB, AT SOUTH END OF THE BEACH",334400,1182100,GILLNET-RELATED,ADVANCED DECOMPOSITION,"DIANA MCINTYRE, LOS ANGELES COUNTY MUSEUM OF NATURAL HISTORY, LOS ANGELES",LEFT AT SITE,F,YEARLING,736,CM,,,GILLNET FRAGMENTS COLLECTED BY D MCINTYRE,PHOTOS TAKEN,LEFT AT SITE,,
8312001,OCC-DK-83-28,GRAY WHALE,12/22/83,12/22/83,CA,ORANGE,SUNSET BEACH,"10TH AVENUE, 1/2 MILE NORTH OF WARNER AVENUE",334300,1180415,UNKNOWN,MODERATE DECOMPOSITION,"KIMBERLY CHRISTENSEN, ORANGE COUNTY SANITATION DISTRICT, FOUNTAIN VALLEY",LEFT AT SITE,M,CALF,264,IN,,,1 FLIPPER MISSING,PHOTOS TAKEN,LEFT AT SITE,,
8401040,HSU-VM-754,SPERM WHALE,1/26/84,1/27/84,CA,HUMBOLDT,,"NEAR MOUTH OF SPANISH CREEK, 6 1/2 MILES SOUTH OF HONEYDEW",401100,1241530,UNKNOWN,ADVANCED DECOMPOSITION,"DOUGLAS KAIN, HUMBOLDT STATE UNIVERSITY VERTEBRATE MUSEUM, ARCATA",SPECIMEN TO SCIENTIFIC COLLECTION,U,UNKNOWN,1410,CM,,,NUMEROUS APPARENT SHARK BITES ON CARCASS,PHOTOS TAKEN; LEFT FLIPPER; SCAPULA; RIB; CENTRUM AND UPPER TEETH TO HSU VM,HUMBOLDT STATE UNIVERSITY VERTEBRATE MUSEUM,,
8402010,OCC-DK-84-02,GRAY WHALE,2/11/84,2/11/84,CA,ORANGE,HUNTINGTON BEACH,NORTH HUNTINGTON CITY BEACH,334124,1180202,UNKNOWN,MODERATE DECOMPOSITION,"DENNIS KELLY, ORANGE COAST COLLEGE, COSTA MESA",SPECIMEN TO SCIENTIFIC COLLECTION,M,YEARLING,269,IN,,,LEFT PECTORAL BROKEN OUT OF SOCKET; BACK BROKEN BEHING BLOWHOLE,PHOTOS TAKEN; BALEEN; BARNACLES & EYE TO ORANGE COAST COLLEGE,ORANGE COAST COLLEGE,,
8402023,,GRAY WHALE,2/14/84,,CA,ORANGE,HUNTINGTON BEACH,"ORANGE COUNTY SANITATION DISTRICT STATION 9N, SOUTHERN CALIFORNIA EDISON PLANT",333840,1175850,UNKNOWN,ADVANCED DECOMPOSITION,"KIMBERLY CHRISTENSEN, ORANGE COUNTY SANITATION DISTRICT, FOUNTAIN VALLEY",BURIED,U,CALF,300,IN,,,,PHOTOS TAKEN,BURIED,,
8402078,USFWS-84-1701,GRAY WHALE,2/17/84,2/17/84,CA,SAN LUIS OBISPO,SAN SIMEON,"JADE MOTEL, AT FOOT OF BALBOA AVENUE",353830,1211100,UNKNOWN,MODERATE DECOMPOSITION,"JIM BODKIN, RON JAMESON, ROBERT BROWNELL, US FISH & WILDLIFE SERVICES, PIEDRAS BLANCAS",LEFT AT SITE,U,CALF,396,CM,,,FETUS OR PREMATURE CALF; LENGTH AT BIRTH 4.9 METERS,,LEFT AT SITE,,
8402054,SBMNH-84-05,GRAY WHALE,2/24/84,2/24/84,CA,VENTURA,VENTURA,EMMA WOOD STATE BEACH,341700,1191900,UNKNOWN,FRESH DEAD,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",SPECIMEN TO SCIENTIFIC COLLECTION,M,UNKNOWN,336,IN,,,,,SANTA BARBARA MUSEUM OF NATURAL HISTORY,,
8402024,OCC-DK-84-03,GRAY WHALE,2/28/84,2/28/84,CA,ORANGE,HUNTINGTON BEACH,BETWEEN ORANGE COUNTY SANITATION DISTRICT STATIONS 3N & 6N,333800,1175800,PREDATION-RELATED,FRESH DEAD,"MARTY MORALES, ORANGE COAST COLLEGE, COSTA MESA",LEFT AT SITE,U,CALF,303,IN,,,BADLY SHARK BITTEN,PHOTOS TAKEN,LEFT AT SITE,,
8402055,SBMNH-84-07,GRAY WHALE,2/29/84,2/29/84,CA,VENTURA,OXNARD,MCGRATH STATE BEACH,341430,1191600,UNKNOWN,FRESH DEAD,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",SPECIMEN TO SCIENTIFIC COLLECTION,U,UNKNOWN,324,IN,,,,"SKULL, VERTEBRA & ROSTRUM TO CALIFORNIA DEPARTMENT OF PARKS & RECREATION, CHANNEL COAST DISTRICT VENTURA; DOC-4063-F/SWR.","CALIFORNIA DEPARTMENT OF PARKS & RECREATION, CHANNEL COAST DISTRICT, VENTURA",,
8402039,CAS-JAS-3611,GRAY WHALE,2/29/84,2/29/84,CA,SONOMA,PETALUMA,"PETALUMA RIVER, SCHALLENBERGER PARK BOAT RAMP",3813,12239,UNKNOWN,MODERATE DECOMPOSITION,"MARC WEBBER, W KEENER, CALIFORNIA ACADEMY OF SCIENCES, SAN FRANCISCO",SPECIMEN TO SCIENTIFIC COLLECTION,F,SUBADULT,810,CM,4540,KG,,PHOTOS TAKEN; SOME BALEEN PLATES; BARNACLE & CYAMIDS TO CALIFORNIA ACADEMY OF SCIENCES,CALIFORNIA ACADEMY OF SCIENCES,,
8403087,OCC-DK-84-07,GRAY WHALE,3/21/84,3/21/84,CA,ORANGE,HUNTINGTON BEACH,"BOLSA CHICA STATE BEACH, BETWEEN WARNER & MAIN LARGE TOWER",334235,1180339,GILLNET-RELATED,FRESH DEAD,"MIKE COFFER, ANDY WOOD, ORANGE COAST COLLEGE, COSTA MESA",SPECIMEN TO SCIENTIFIC COLLECTION,M,UNKNOWN,330,IN,,,GILLNET WRAPPED AROUND TAIL,PHOTOS TAKEN; 4 RIBS TO ORANGE COAST COLLEGE,ORANGE COAST COLLEGE,,
8405030,SBMNH-84-19,GRAY WHALE,5/4/84,5/5/84,CA,SAN LUIS OBISPO,CAYUCOS,825 PACIFIC STREET,352630,1205345,GILLNET-RELATED,FRESH DEAD,"SANDRA OWEN, NANCY SIEPEL, CALIFORNIA DEPARTMENT OF FISH & GAME, MORRO BAY",SPECIMEN TO SCIENTIFIC COLLECTION,M,YEARLING,822,CM,40000,LB,8 INCH MESH GILLNET WRAPPED AROUND TAIL FLUKE PEDUNCLE,PHOTOS TAKEN; LICE & BARNACLES FROM SNOUT & GENITAL AREA TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,LEFT AT SITE,,
8405031,SCRP-MM-01-84,GRAY WHALE,5/14/84,5/15/84,CA,SONOMA,SEA RANCH,SOUTH OF SCULPTURE POINT,384200,1232600,UNKNOWN,FRESH DEAD,"NICHOLAS LEE, SONOMA COUNTY REGIONAL PARKS, BODEGA BAY",BURNED BY CITY,U,ADULT,372,IN,,,,PHOTOS TAKEN,BURNED BY CITY,,
8405045,,UNIDENTIFIED WHALE,5/22/84,5/22/84,CA,ORANGE,HUNTINGTON BEACH,ORANGE COUNTY SANITATION DISTRICT STATION 6N,333830,1175820,UNKNOWN,ADVANCED DECOMPOSITION,"KIMBERLY CHRISTENSEN, ORANGE COUNTY SANITATION DISTRICT, FOUNTAIN VALLEY",LEFT AT SITE,U,UNKNOWN,240,IN,,,NO RIBS; 3 VERTEBRAE LYING NEXT TO CARCASS,,LEFT AT SITE,,
8406004,HSU-VM-785,GRAY WHALE,6/4/84,8/9/84,CA,HUMBOLDT,TRINIDAD,1/4 MILE WEST OF STONE LAGOON PARK,411500,1240500,UNKNOWN,ADVANCED DECOMPOSITION,"WARREN HOUCK, WILLIAM GANNON, STEVE DEBLOISE, HUMBOLDT STATE UNIVERSITY, ARCATA",SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,1280,CM,,,PROBABLY SAME ANIMAL REPORTED WEEK PRIOR 10 MILESI NORTH OF STRANDING SITE BUT WASHED OUT BY TIDE,"PHOTOS TAKEN; SKULL, SCAPULA, CERVICAL VERTEBRAE & LEFT PECTORAL FIN TO HSU VERTEBRATE MUSEUM",HUMBOLDT STATE UNIVERSITY VERTEBRATE MUSEUM,,
8406034,CAS-IDS-33,MINKE WHALE,6/14/84,6/14/84,CA,SAN MATEO,,JUST NORTH OF PEBBLE BEACH,371500,1222500,PREDATION-RELATED,FRESH DEAD,"ISIDORE SZCZEPANIAK, CALIFORNIA ACADEMY OF SCIENCES, SAN FRANCISCO",SPECIMEN TO SCIENTIFIC COLLECTION,M,UNKNOWN,777,CM,,,BODY COVERED WITH SHARK BITES; SMALL BARNACLES VENTRAL SIDE OF FLUKES,UNKNOWN PARTS TO UC SANTA CRUZ LONG MARINE LABORATORY,"LONG MARINE LABORATORY, UC SANTA CRUZ",,
8408031,,BLUE WHALE,8/20/84,8/20/84,CA,SAN DIEGO,CARDIFF-BY-THE-SEA,NORTHERN PORTION OF SAN ELIJO STATE BEACH,330300,1171700,UNKNOWN,MODERATE DECOMPOSITION,"ALETA HOHN, NMFS/SWFC, LA JOLLA",SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,1830,CM,,,,"PHOTOS TAKEN; SMALL PIECE OF BALEEN; SKIN, & BLUBBER SAMPLES TO NMFS/SWFC; JAWBONE & 3 VERTEBRAE TO TORREY PINES STATE RESERVE, DOC-4676-F/SWR",NMFS/SWFC,,
8410001,,SPERM WHALE,10/8/84,10/8/84,CA,SONOMA,GUALALA,"GUALALA RIVER MOUTH, GUALALA REGIONAL PARK",384500,1233100,UNKNOWN,FRESH DEAD,"M FAABERG, SONOMA COUNTY REGIONAL PARKS",SPECIMEN TO SCIENTIFIC COLLECTION,U,CALF,,,,,,SKULL & LOWER JAW TO MONTEREY BAY AQUARIUM (DOC-4070-F/SWR),MONTEREY BAY AQUARIUM,,
8411040,,GRAY WHALE,11/11/84,11/11/84,CA,MARIN,,"KEHOE BEACH, POINT REYES NATIONAL SEASHORE",381000,1225700,UNKNOWN,ADVANCED DECOMPOSITION,"RAYMOND DEITER, CALIFORNIA ACADEMY OF SCIENCES, SAN FRANCISCO",LEFT AT SITE,U,UNKNOWN,,,,,,,LEFT AT SITE,,
8412040,,HUMPBACK WHALE,12/27/84,12/27/84,CA,SANTA BARBARA,,"OFFSHORE, BETWEEN OIL PLATFORMS HILLHOUSE & HABITAT",,,GILLNET-RELATED,FRESH DEAD,,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 2 CARCASSES ENTANGLES IN GILLNET (SEE ALSO 8412041),,LEFT AT SITE,,
8412041,,HUMPBACK WHALE,12/27/84,12/27/94,CA,SANTA BARBARA,,"OFFSHORE, BETWEEN OIL PLATFORMS HILLHOUSE & HABITAT",,,GILLNET-RELATED,FRESH DEAD,,LEFT AT SITE,U,UNKNOWN,,,,,1 OF 2 CARCASSES ENTANGLES IN GILLNET (SEE ALSO 8412040),,LEFT AT SITE,,
8501001,SBMNH-85-01,GRAY WHALE,1/14/85,1/15/85,CA,CHANNEL ISLANDS,SANTA CRUZ ISLAND,1/4 MILE EAST OF PAINTED CAVE,340415,1195125,GILLNET-RELATED,FRESH DEAD,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",LEFT AT SITE,F,UNKNOWN,300,IN,,,"CARCASS FLOATING OFFSHORE AT 16 FATHOM MARK; GILLNET DRAPED OVER HEAD, MESH SIZE = 8 1/4 INCHES; LENGTH ESTIMATED","PHOTOS TAKEN, BARNACLES COLLECTED",LEFT AT SITE,,
8501002,,GRAY WHALE,1/23/85,1/23/85,CA,SAN LUIS OBISPO,GUADALUPE,"ON BEACH, 1 MILE NORTH OF SANTA MARIA RIVER.",345900,1203900,UNKNOWN,FRESH DEAD,"JACK RAYMOND, CALIFORNIA DEPARTMENT OF PARKS AND RECREATION",LEFT AT SITE,U,CALF,144,IN,,,ORIGINAL LENGTH ESTIMATE 12 FEET,PHOTOS IN SLIDE FILE OF PISMO DUNES STATE VEHICULAR RECRESATION AREA,LEFT AT SITE,,
8501003,NMFS/SWFC-HJB-009,GRAY WHALE,1/27/85,1/28/85,CA,SAN DIEGO,CAMP PENDLETON,DEL MAR BOAT BASIN; CAMP PENDLETON MARINE BASE,331300,1172400,GILLNET-RELATED,MODERATE DECOMPOSITION,"HANNAH BERNARD, NMFS/SWFC, LA JOLLA",SPECIMEN TO SCIENTIFIC COLLECTION,M,CALF,500,CM,800,LB,"FISHING LINE TANGLED AROUND FLIPPERS, SLITTING ONE EYE","BALEEN SAMPLE TO SOUTHWEST FISHERIES CENTER; HEART TO EUGENE PERRIN, WAYNE STATE UNIVERSITY; CARCASS BURIED FOR FUTURE SKELETON RETRIEVAL",NMFS/SWFC,,
8502001,SBMNH-85-02,GRAY WHALE,2/11/85,2/11/85,CA,SANTA BARBARA,VANDENBERG AIR FORCE BASE,"MINUTEMAN BEACH, 1/2 MILE SOUTH OF PARKING AREA, VANDENBERG AIRFORCE BASSE",345000,1203600,GILLNET-RELATED,MODERATE DECOMPOSITION,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,1219,CM,80000,LB,ROPE WITH POLYSTYRENE FLOAT WRAPPED AROUND FLUKES,PHOTOS TAKEN; SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY; SKULL TRANSFERRED TO POINT REYES NATIONAL SEASHORE ON 03/19/85,POINT REYES NATIONAL SEASHORE,,
8503007,SBMNH-85-06,GRAY WHALE,3/14/85,,CA,SANTA BARBARA,GOLETA,BEACH IN FRONT OF SANDPIPER GOLF COURSE,342615,1195400,UNKNOWN,FRESH DEAD,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,800,CM,,,,PHOTOS TAKEN; LEFT EYE TO SANTA BARBARA ZOO.  PHOTOS TAKEN.,SANTA BARBARA ZOO,,
8503052,1985330Er_2,GRAY WHALE,3/30/85,3/30/85,CA,VENTURA,OXNARD,"CHANNEL ISLANDS HARBOR, FLOATING DEAD; 3/31/85 5 MILES SOUTH OF VENTURA HARBOR, FLOATING DEAD",,,GILLNET-RELATED,FRESH DEAD,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA; 3/31/1985 M CONNELLY, ISLAND PACKERS, VENTURA",LEFT AT SITE,U,CALF,300,IN,,,FOUND FLOATING DEAD; Mark Connolley Island Packers commented on how number of set halibut in the area,,LEFT AT SITE,,
8504003,NMFS/SWFC-HJB-012,GRAY WHALE,4/4/85,4/4/85,CA,SAN DIEGO,OCEAN BEACH,"2 MILES SOUTH OF OCEAN BEACH PIER, AT FOOT OF POINT LOMA AVENUE",324415,1171521,GILLNET-RELATED,MODERATE DECOMPOSITION,"HANNAH BERNARD, NMFS/SWFC, LA JOLLA",LANDFILL,M,SUBADULT,880,CM,24000,LB,CARCASS WRAPPED IN GILLNET; CARCASS TRANSPORTED TO LANDFILL (MIRAMAR DUMP) & BURIED BY CITY OF SAN DIEGO; GILLNET COLLECTED & TAKEN TO SOUTHWEST FISHERIES CENTER,PHOTOS TAKEN,LANDFILL,,
8504035,PMNAS-032,GRAY WHALE,4/8/85,4/10/85,CA,VENTURA,POINT MUGU,"BEACH ROAD & M AVENUE, NAVAL AIR STATION, POINT MUGU",340610,1190805,UNKNOWN,FRESH DEAD,"MATTHEW KLOPE, PACIFIC MISSILE TEST CENTER, NAVAL AIR STATION, POINT MUGU",SPECIMEN TO SCIENTIFIC COLLECTION,M,SUBADULT,324,IN,17000,LB,WEIGHT RANGE= 15000-20000 POUNDS,"PHOTOS TAKEN; SKULL & BACULUM TO NATURAL RESOURCES MANAGEMENT OFFICE, NAVAL AIR STATION, POINT MUGU; SKULL TRANSFERRED TO CHANNEL ISLANDS NATIONAL PARK VISITOR CENTER ON 08/23/89",CHANNEL ISLANDS NATIONAL PARK VISITOR CENTER,,
8504004,NMFS/SWFC-HJB-014,GRAY WHALE,4/9/85,4/9/85,CA,SAN DIEGO,IMPERIAL BEACH,1/2 MILE NORTH OF PALM AVENUE LIFEGUARD STATION,323506,1170800,UNKNOWN,ADVANCED DECOMPOSITION,"HANNAH BERNARD, NMFS/SWFC, LA JOLLA",LEFT AT SITE,F,CALF,,,,,HEAD MISSING; ADVANCED DECOMPOSITION,PHOTOS TAKEN,LEFT AT SITE,,
8504005,SBMNH-85-14,GRAY WHALE,4/9/85,,CA,VENTURA,OXNARD,"HOLLYWOOD BEACH, 4 MILES SOUTH OF EDISON PLANT",341100,1191435,UNKNOWN,ADVANCED DECOMPOSITION,"CHARLES WOODHOUSE, SANTA BARBARA MUSEUM OF NATURAL HISTORY, SANTA BARBARA",LEFT AT SITE,F,UNKNOWN,770,CM,,,DECOMPOSED; NO SKIN,,LEFT AT SITE,,
